sample_index,sensor_3_mm,sensor_5_mm,odin_x_m,odin_y_m,odin_yaw_rad,corrected_x_m,corrected_y_m,corrected_yaw_rad
1,151.0,294.0,0.5220511929954424,0.596655375340947,1.58407439019125,0.5243635919758013,0.6038197663079763,1.58407439019125
2,619.0,313.0,0.9958670803036801,0.6209450530654145,1.6299245564890423,0.9930552989290221,0.6209897255124086,1.6299245564890423
3,671.0,377.0,0.9971211092330307,0.6241845460243395,1.964620555863437,0.9858178021111831,0.6289168950759729,1.964620555863437
4,666.0,316.0,1.0041161698622174,0.6058092949662541,1.3357550377808811,0.9964460876021841,0.6128481615890651,1.3357550377808811
5,584.0,513.0,0.9628911215864235,0.8160013975347409,1.5761974664906053,0.9568076733936091,0.8228460536081597,1.5761974664906053
6,591.0,545.0,0.9577860806209866,0.8256796857524813,1.8046298389774793,0.9499267550414648,0.829971237270626,1.8046298389774793
7,613.0,525.0,0.9583733388591684,0.8125900022351341,1.3671140999838145,0.9539127056939245,0.819239230994472,1.3671140999838145
8,496.0,868.0,0.8649246517955107,1.169318334508497,1.574747902150997,0.8688048847786155,1.1775844347519486,1.574747902150997
9,498.0,908.0,0.8614093684973019,1.175005716368457,1.8102819174207985,0.8577273007299795,1.184859794229277,1.8102819174207985
10,872.0,865.0,1.2494054176979952,1.1787515346876924,1.6145737710990717,1.2459839514178588,1.1737450841910957,1.6145737710990717
11,839.0,604.0,1.2145429937899346,0.9193709179696581,1.5978330529855829,1.2126091256299933,0.9133617589575088,1.5978330529855829
12,797.0,349.0,1.1762651009068024,0.6635021269315245,1.615905343129044,1.1709992176231083,0.657685329019783,1.615905343129044
13,784.0,214.0,1.165286241923292,0.5358912095915734,1.6261320823404528,1.1580481396618005,0.5221967378911986,1.6261320823404528
14,766.0,114.0,1.1490968376282362,0.43468417692984673,1.6403081223838232,1.1399216598387798,0.4214624346156626,1.6403081223838232
15,774.0,123.0,1.1497746198521173,0.4350661816568018,1.73243156177925,1.1414602490034549,0.423528131987287,1.73243156177925
16,820.0,114.0,1.148763550951018,0.4240814977600239,1.3358507915626399,1.1445374929291343,0.4186481910733073,1.3358507915626399
17,207.0,175.0,0.566053033143523,0.48230650882150594,1.5943345860490452,0.5806154593329855,0.48454491404753075,1.5943345860490452
18,205.0,185.0,0.5670922562606351,0.4836039443759522,1.7337890366279263,0.5763408395050397,0.4849578378336353,1.7337890366279263
19,156.0,378.0,0.5169103621201269,0.6791424208553686,1.6041886622932704,0.529827268281287,0.6871696245859193,1.6041886622932704
20,150.0,392.0,0.5125158206688598,0.6831721746854817,1.7438054794175366,0.5212044768448139,0.689173600655679,1.7438054794175366
21,185.0,656.0,0.539131442263871,0.9601580497603747,1.5965220939450933,0.5586702819366248,0.9653909075701947,1.5965220939450933
22,297.0,210.0,0.6712883870875341,0.5191475501513839,1.634768156877637,0.6710958400787086,0.5177423103032537,1.634768156877637
23,324.0,224.0,0.6816016007630255,0.520858096604739,1.7510442732190732,0.6931693643452969,0.5217480789496419,1.7510442732190732
24,525.0,210.0,0.8830394802166632,0.516679829491826,1.4489886719295244,0.8846631154787145,0.5189717493715974,1.4489886719295244
25,627.0,130.0,0.9966711400645805,0.43957644621636927,1.691834153859513,0.9989448349741002,0.4340085351475661,1.691834153859513
26,700.0,80.0,1.0739868167385938,0.3927155749728152,1.590626463191143,1.0733825032537454,0.38969686061618714,1.590626463191143
27,697.0,80.0,1.0737077000243884,0.39300968188452046,1.590666549958554,1.070384871502184,0.38969545398911426,1.590666549958554
28,700.0,82.0,1.0741238859176343,0.3929050464963245,1.5905395323439104,1.0733791983570837,0.39169933812380237,1.5905395323439104
29,700.0,80.0,1.0734091989680805,0.3931037960769549,1.590652963998937,1.0733835091358652,0.38969593078462667,1.590652963998937
30,700.0,82.0,1.072942469515247,0.3931443086486234,1.5908408851599043,1.0733906203695287,0.391688772960099,1.5908408851599043
