sample_index,sensor_3_m,sensor_5_m,input_odin_x_m,input_odin_y_m,input_odin_yaw_rad,corrected_x_m,corrected_y_m,corrected_yaw_rad,error_x_m,error_y_m
1,0.151,0.294,0.5220511929954424,0.596655375340947,1.58407439019125,0.9383345409726964,0.6375362179638244,1.58407439019125,0.41628334797725397,0.04088084262287739
2,0.619,0.313,0.9958670803036801,0.6209450530654145,1.6299245564890423,0.9183531276568992,0.6493508114455016,1.6299245564890423,-0.07751395264678085,0.028405758380087076
3,0.671,0.377,0.9971211092330307,0.6241845460243395,1.964620555863437,0.7418553690263426,0.6703498065679387,1.964620555863437,-0.255265740206688,0.04616526054359926
4,0.666,0.316,1.0041161698622174,0.6058092949662541,1.3357550377808811,0.9830471099796428,0.5501378248667413,1.3357550377808811,-0.02106905988257457,-0.05567147009951279
5,0.584,0.513,0.9628911215864235,0.8160013975347409,1.5761974664906053,0.9344783765564603,0.6339950922752864,1.5761974664906053,-0.02841274502996327,-0.1820063052594545
6,0.591,0.545,0.9577860806209866,0.8256796857524813,1.8046298389774793,0.8549908096618174,0.6288834559023109,1.8046298389774793,-0.10279527095916918,-0.19679622985017042
7,0.613,0.525,0.9583733388591684,0.8125900022351341,1.3671140999838145,0.9691134172486511,0.6054081825022632,1.3671140999838145,0.010740078389482655,-0.20718181973287086
8,0.496,0.868,0.8649246517955107,1.169318334508497,1.574747902150997,0.9351681760598312,0.6324714529729888,1.574747902150997,0.07024352426432046,-0.5368468815355082
9,0.498,0.908,0.8614093684973019,1.175005716368457,1.8102819174207985,0.8744996610359359,0.5422377247182105,1.8102819174207985,0.01309029253863403,-0.6327679916502466
10,0.872,0.865,1.2494054176979952,1.1787515346876924,1.6145737710990717,0.9121068249108902,0.6213041378523261,1.6145737710990717,-0.33729859278710494,-0.5574473968353664
11,0.839,0.604,1.2145429937899346,0.9193709179696581,1.5978330529855829,0.9222464198891708,0.6331801014912949,1.5978330529855829,-0.2922965739007638,-0.2861908164783632
12,0.797,0.349,1.1762651009068024,0.6635021269315245,1.615905343129044,0.914742290845641,0.6441815974590478,1.615905343129044,-0.2615228100611614,-0.019320529472476755
13,0.784,0.214,1.165286241923292,0.5358912095915734,1.6261320823404528,0.9104398058964394,0.6538795996626635,1.6261320823404528,-0.25484643602685275,0.11798839007109008
14,0.766,0.114,1.1490968376282362,0.43468417692984673,1.6403081223838232,0.9047560530233782,0.6657165780973352,1.6403081223838232,-0.24434078460485797,0.23103240116748847
15,0.774,0.123,1.1497746198521173,0.4350661816568018,1.73243156177925,0.855696497750036,0.7019358580205265,1.73243156177925,-0.2940781221020813,0.2668696763637247
16,0.82,0.114,1.148763550951018,0.4240814977600239,1.3358507915626399,1.0188884317380829,0.5031547496259051,1.3358507915626399,-0.12987511921293504,0.07907325186588121
17,0.207,0.175,0.566053033143523,0.48230650882150594,1.5943345860490452,0.9389058168544957,0.6433494835868634,1.5943345860490452,0.37285278371097275,0.16104297476535745
18,0.205,0.185,0.5670922562606351,0.4836039443759522,1.7337890366279263,0.9472591840037299,0.692374112367331,1.7337890366279263,0.3801669277430948,0.20877016799137882
19,0.156,0.378,0.5169103621201269,0.6791424208553686,1.6041886622932704,0.9417782448994612,0.6405740096947019,1.6041886622932704,0.4248678827793343,-0.03856841116066667
20,0.15,0.392,0.5125158206688598,0.6831721746854817,1.7438054794175366,0.956615658567985,0.6597701119595096,1.7438054794175366,0.4440998378991252,-0.023402062725972117
21,0.185,0.656,0.539131442263871,0.9601580497603747,1.5965220939450933,0.9397392681625224,0.6318705475926544,1.5965220939450933,0.4006078258986514,-0.3282875021677203
22,0.297,0.21,0.6712883870875341,0.5191475501513839,1.634768156877637,0.9373703508001565,0.6571308663011992,1.634768156877637,0.2660819637126224,0.1379833161498153
23,0.324,0.224,0.6816016007630255,0.520858096604739,1.7510442732190732,0.9256741794435909,0.6905596510172202,1.7510442732190732,0.24407257868056542,0.16970155441248114
24,0.525,0.21,0.8830394802166632,0.516679829491826,1.4489886719295244,0.9497819833464322,0.5815387242333863,1.4489886719295244,0.06674250312976893,0.06485889474156026
25,0.627,0.13,0.9966711400645805,0.43957644621636927,1.691834153859513,0.8957407429968663,0.6855701855873757,1.691834153859513,-0.10093039706771412,0.24599373937100644
26,0.7,0.08,1.0739868167385938,0.3927155749728152,1.590626463191143,0.9286664097246806,0.6437110922491851,1.590626463191143,-0.14532040701391313,0.25099551727636993
27,0.697,0.08,1.0737077000243884,0.39300968188452046,1.590666549958554,0.9287113404158523,0.6437314020052034,1.590666549958554,-0.14499635960853607,0.25072172012068294
28,0.7,0.082,1.0741238859176343,0.3929050464963245,1.5905395323439104,0.9286982306101091,0.6436275617796295,1.5905395323439104,-0.14542565530752516,0.250722515283305
29,0.7,0.08,1.0734091989680805,0.3931037960769549,1.590652963998937,0.9286567077542702,0.6437245188640185,1.590652963998937,-0.14475249121381029,0.2506207227870636
30,0.7,0.082,1.072942469515247,0.3931443086486234,1.5908408851599043,0.928587890932805,0.6437796295803445,1.5908408851599043,-0.14435457858244194,0.25063532093172114
