sample_index,sensor_3_mm,sensor_5_mm,odin_x_m,odin_y_m,odin_yaw_rad
1,151.0,294.0,0.5220511929954424,0.596655375340947,1.58407439019125
2,619.0,313.0,0.9958670803036801,0.6209450530654145,1.6299245564890423
3,671.0,377.0,0.9971211092330307,0.6241845460243395,1.964620555863437
4,666.0,316.0,1.0041161698622174,0.6058092949662541,1.3357550377808811
5,584.0,513.0,0.9628911215864235,0.8160013975347409,1.5761974664906053
6,591.0,545.0,0.9577860806209866,0.8256796857524813,1.8046298389774793
7,613.0,525.0,0.9583733388591684,0.8125900022351341,1.3671140999838145
8,496.0,868.0,0.8649246517955107,1.169318334508497,1.574747902150997
9,498.0,908.0,0.8614093684973019,1.175005716368457,1.8102819174207985
10,872.0,865.0,1.2494054176979952,1.1787515346876924,1.6145737710990717
11,839.0,604.0,1.2145429937899346,0.9193709179696581,1.5978330529855829
12,797.0,349.0,1.1762651009068024,0.6635021269315245,1.615905343129044
13,784.0,214.0,1.165286241923292,0.5358912095915734,1.6261320823404528
14,766.0,114.0,1.1490968376282362,0.43468417692984673,1.6403081223838232
15,774.0,123.0,1.1497746198521173,0.4350661816568018,1.73243156177925
16,820.0,114.0,1.148763550951018,0.4240814977600239,1.3358507915626399
17,207.0,175.0,0.566053033143523,0.48230650882150594,1.5943345860490452
18,205.0,185.0,0.5670922562606351,0.4836039443759522,1.7337890366279263
19,156.0,378.0,0.5169103621201269,0.6791424208553686,1.6041886622932704
20,150.0,392.0,0.5125158206688598,0.6831721746854817,1.7438054794175366
21,185.0,656.0,0.539131442263871,0.9601580497603747,1.5965220939450933
22,297.0,210.0,0.6712883870875341,0.5191475501513839,1.634768156877637
23,324.0,224.0,0.6816016007630255,0.520858096604739,1.7510442732190732
24,525.0,210.0,0.8830394802166632,0.516679829491826,1.4489886719295244
25,627.0,130.0,0.9966711400645805,0.43957644621636927,1.691834153859513
26,700.0,80.0,1.0739868167385938,0.3927155749728152,1.590626463191143
27,697.0,80.0,1.0737077000243884,0.39300968188452046,1.590666549958554
28,700.0,82.0,1.0741238859176343,0.3929050464963245,1.5905395323439104
29,700.0,80.0,1.0734091989680805,0.3931037960769549,1.590652963998937
30,700.0,82.0,1.072942469515247,0.3931443086486234,1.5908408851599043
